"country","Travel_Tourism_Direct_Contribution_GDP","Travel_Tourism_Total_Contribution_GDP","PercentTravel_Tourism_Direct_Contribution_GDP","PercentTravel_Tourism_Total_Contribution_GDP","GDP","lGDP"
"Peru",7.4,19.4,3.8,10.1,6516,8.78201596972194
"Turks and Caicos Islands",NA,NA,NA,NA,23615,10.0696373823302
"Nicaragua",0.6,1.2,5,9.6,1963,7.58222919427646
"Brazil",56.3,152,3.3,9,11387,9.3402276328106
"Cuba",2.1,8.4,2.5,10.1,7274,8.89206162554694
"St. Bartolome",NA,NA,NA,60,191,5.25227342804663
"Costa Rica",2.5,6.5,4.8,12.6,10415,9.25100235369507
"Martinique",0.4,1.5,2.9,12,14000,9.5468126085974
"Colombia",5.9,18.2,2,6.1,7904,8.9751242394277
"Grenada",0.1,0.2,7,24.2,8313,9.02557583353109
"Trinidad and Tobago",0.8,2.2,3.2,8.5,20723,9.93899947353749
"Bermuda",0.3,0.9,5,15.3,89795,11.4052845734528
"St. Martin",NA,NA,NA,60,449,6.10702288774225
"Ecuador",2.1,5.1,2.1,5.1,6346,8.75557997214314
"Peru",7.4,19.4,3.8,10.1,6516,8.78201596972194
"Anguilla",NA,NA,NA,NA,21493,9.97548257970728
"Montserrat",NA,NA,3,8,12384,9.42416059582951
"Anguilla",NA,NA,NA,NA,21493,9.97548257970728
"Bolivia (Plurinational State of)",1,2.5,2.8,7,3124,8.04686951095958
"Bolivia (Plurinational State of)",1,2.5,2.8,7,3124,8.04686951095958
"Panama",3.9,8.7,8.1,18.3,12712,9.45030170821655
"Brazil",56.3,152,3.3,9,11387,9.3402276328106
"Honduras",1.1,3,5.5,15.1,2449,7.80343505695217
"Barbados",0.5,1.7,12,39.5,15360,9.63952200670166
"Colombia-Cordoba-Montelibano",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Norte_Santander-Santiago",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Valle_Del_Cauca-Zarzal",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Santander-Giron",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Cordoba-Lorica",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Antioquia-Carepa",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Santander-Barrancabermeja",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Tolima-San_Antonio",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Risaralda-Marsella",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Valle_Del_Cauca-Candelaria",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Norte_Santander-Ragonvalia",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Norte_Santander-Sardinata",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Meta-Puerto_Lopez",5.9,18.2,2,6.1,7904,8.9751242394277
"El_Salvador-La_Paz",1.1,2.7,4.3,10.6,4120,8.32360844234357
"Bermuda",0.3,0.9,5,15.3,89795,11.4052845734528
"Paraguay",0.6,1.6,1.8,5.1,4729,8.46146904264388
"Belize",0.3,0.7,14.7,38.6,4831,8.48280876455441
"Dominica",0.1,0.2,12.9,39,7361,8.90395107205871
"Brazil",56.3,152,3.3,9,11387,9.3402276328106
"Haiti",0.3,0.9,3.5,10.1,813,6.70073110954781
"Peru",7.4,19.4,3.8,10.1,6516,8.78201596972194
"Turks and Caicos Islands",NA,NA,NA,NA,23615,10.0696373823302
"Bahamas",1.7,3.8,19.4,43.6,22217,10.0086130405771
"Antigua and Barbuda",0.2,0.7,15.5,58.3,13731,9.52741132932175
"Bahamas",1.7,3.8,19.4,43.6,22217,10.0086130405771
"Peru",7.4,19.4,3.8,10.1,6516,8.78201596972194
"Suriname",0.1,0.2,1.2,2.9,9680,9.17781718027062
"Bahamas",1.7,3.8,19.4,43.6,22217,10.0086130405771
"Turks and Caicos Islands",NA,NA,NA,NA,23615,10.0696373823302
"Colombia-Huila-Aipe",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Norte_Santander-Los_Patios",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Cordoba-La_Apartada",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Magdalena-Fundacion",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Valle_Del_Cauca-Yumbo",5.9,18.2,2,6.1,7904,8.9751242394277
"Colombia-Atlantico-Soledad",5.9,18.2,2,6.1,7904,8.9751242394277
"El Salvador",1.11,2.75,4.3,10.6,4023,8.29978317194979
"Mexico",65.37,141.35,7,15.1,9592.1,9.16869512200747
"United States Virgin Islands",0.55,1.39,12.3,30.9,NA,NA
"Argentina",13.54,37.37,3.9,10.7,13428,9.50509735809993
"Aruba",0.8,2.44,29.7,90.7,NA,NA
"British Virgin Islands",0.32,0.89,32,90.4,NA,NA
"Cayman Islands",0.3,1.1,7.8,28.9,NA,NA
"Curacao",NA,NA,NA,NA,NA,NA
"Dominican Republic",3.36,10.85,5,16.3,6663.9,8.80446017773169
"French Guiana",NA,NA,NA,NA,NA,NA
"Guadeloupe",2.4,1.12,2.2,10.5,NA,NA
"Guatemala",2.15,5.69,3.3,8.9,3886.5,8.26526428867027
"Guyana",0.11,0.27,3.3,8.2,3993.2,8.29234819346227
"Jamaica",1.14,3.77,8.9,29.3,4912.3,8.49949754288055
"Netherlands Antilles (former)",0.777,2.18,22.5,63.2,NA,NA
"Puerto Rico",2.37,7.04,2.4,7.2,NA,NA
"Saint Kitts and Nevis",0.05,0.21,7,28.1,14618.5,9.59004312886091
"Saint Lucia",0.21,0.6,14.5,41.5,8409.9,9.03716486228988
"Saint Vincent and the Grenadines",0.047,0.167,6.6,23.2,6959.2,8.84781980419333
"Venezuela (Bolivarian Republic of)",25.84,73.76,3,8.5,4262.5,8.35761112159177
"Canada",27.75,97.04,1.8,6.4,43934.8,10.6904619957402
"United States of America",488,1469.9,2.7,8.2,55904.3,10.9313965792617
"Uruguay",1.46,4.47,2.8,8.6,16091.9,9.68607131878241
